"";"CASE";"SERIAL";"QUESTNNR";"MODE";"STARTED";"TIME";"TIME2.0";"WEEK";"EE02";"DD02_01";"DD03";"DD04_01";"DD05";"DD05_12";"DD06_01";"DD06_02";"DD07";"DD09";"DD11";"DD10_01";"DD10_02";"DD10_03";"DD10_04";"DD10_05";"DD10_06";"DD10_07";"DD10_08";"LP02_01";"LP03_01";"LP03_02";"LP05";"LP06_01";"LP07_01";"LP07_02";"LP09";"LP10_01";"LP11_01";"LP11_02";"LP13";"T102_01";"T102_02";"T102_03";"T102_04";"T103_01";"T103_02";"T103_03";"T104_01";"T104_02";"T104_03";"T104_04";"T105_01";"T105_02";"T105_03";"T106_01";"T106_02";"T106_03";"T107_01";"T107_02";"T107_03";"T107_04";"T107_05";"T107_06";"T107_07";"T108_01";"T108_02";"T108_03";"T108_04";"T108_05";"T108_06";"T108_07";"T108_08";"T108_09";"T202_01";"T202_02";"T202_03";"T202_04";"T203_01";"T203_02";"T203_03";"T204_01";"T204_02";"T204_03";"T204_04";"T205_01";"T205_02";"T205_03";"T206_01";"T206_02";"T206_03";"T207_01";"T207_02";"T207_03";"T207_04";"T207_05";"T207_06";"T207_07";"T208_01";"T208_02";"T208_03";"T208_04";"T208_05";"T208_06";"T208_07";"T208_08";"T208_09";"KO01";"EM02";"EM03";"EM04";"EV02_01";"EV02_02";"EV02_03";"EV02_04";"EV02_05";"EV02_06";"EV03_01";"EV04_01";"EV04_02";"EV04_03";"EV04_04";"EV04_05";"FA02_01";"FA02_02";"FA02_03";"FA02_04";"FA02_05";"FA02_06";"FA02_07";"FA02_08";"FA02_09";"FA02_10";"FA02_11";"FA02_12";"FA02_13";"FA02_14";"FA02_15";"FA02_16";"FA02_17";"FA02_18";"FA02_19";"FA02_20";"FA02_21";"FA02_22";"FA02_23";"FA02_24";"FA02_25";"FA02_26";"FA02_27";"FA02_28";"FA02_29";"FA02_30";"FA02_31";"FA02_32";"FA02_33";"FA02_34";"FA02_35";"FA02_36";"FA02_37";"PT02";"PT03_01";"PT04";"PT05_01";"PT06";"PT07_01";"LZ02_01";"LZ03_01";"LZ04_01";"ZE02_01";"ZE03_01";"PL01_01";"PL02_01";"SM02_01";"SM02_02";"SM02_03";"SE01_03";"TE_Bel_1";"TE_Bel_2";"TE_Bel_3";"TE_Bel_4";"TE_Bel_5";"TE_Bel_6";"TE03_01";"TE04_01";"TE05_01";"TE06_01";"TE07_01";"TE08_01";"TE09_01";"TE10_01";"TE11_01";"TE12_01";"TE13_01";"TE14_01";"TE15_01";"TE16";"TE17_01";"AI01_pts";"AI01_rgs";"AI01_01";"AI02_01";"AI06_01";"AI12_01";"AV02_01";"AV02_02";"AV02_03";"AV02_04";"AV02_05";"AV03_01";"AV03_02";"AV03_03";"AV03_04";"AV03_05";"AV04_01";"AV04_02";"AV04_03";"AV05_01";"AV05_02";"AV05_03";"AV05_04";"AV06_01";"AV06_02";"AV06_03";"AV07_01";"AV07_02";"AV07_03";"AV07_04";"AV09_01";"AV09_02";"AV09_03";"AV10_01";"AV10_02";"AV10_03";"FINISHED";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME";"Feedback";"Achtsamkeit";"FinishT1";"FinishT2";"Finish18";"Anzahl_LP_vollstaendig";"Anzahl_LP_abends";"dropout";"goalt1";"mott1";"volt1";"reft1";"plant1";"prot1";"set1";"goalt2";"mott2";"volt2";"reft2";"plant2";"prot2";"set2";"chime1";"chime2";"chime3";"chime4";"chime5";"chime6";"chime7";"chime8";"chimeGesamt";"EVLP"
"73";1389;"BS791494";"T1";"interview";"07.01.2021 12:01";"T1";NA;NA;1;19;1;1;1;NA;"LLTP";"Erziehungswissenschaften";6;2;2;2;1;1;1;3;1;2;2;"09.02.2021";5;4;5;"18.02.2021";5;5;5;"15.02.2021";4;5;5;2;1;4;4;5;1;2;1;3;2;5;3;5;3;3;3;3;1;2;2;1;2;2;2;2;2;3;3;5;3;2;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;3;5;5;4;5;2;2;3;4;3;4;2;6;3;3;4;3;4;3;5;2;4;5;3;4;3;3;4;2;3;2;5;5;4;3;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;3;4;5;2;4;2;4;5;5;2;5;3;5;4;2;2;5;6;2;2;4;4;4;5;3;5;1;11;11;0;0;"Jan 14";10;0;1;1;1;1;27;0;0;2,75;2,66666666666667;2,75;3,66666666666667;3;1,71428571428571;3,22222222222222;NA;NA;NA;NA;NA;NA;NA;5;3,5;4;2,6;2,66666666666667;3,25;4;4,6;3,70208333333333;NA
"74";1390;"AT424766";"T1";"interview";"07.01.2021 12:02";"T1";NA;NA;1;18;1;1;1;NA;"Lehr-,Lern- und Trainingspsychologie";"Erziehungswissenschaft";12;2;2;5;2;5;1;3;3;5;5;"12.02.2021";5;4;7;"15.02.2021";5;6;6;"18.02.2021";5;6;5;6;2;4;5;6;6;4;1;3;2;2;6;6;6;1;1;1;5;6;6;4;6;6;6;2;2;4;4;2;5;3;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;3;5;3;3;4;2;1;3;5;3;4;2;5;4;5;2;6;4;1;5;4;5;4;5;3;5;3;6;1;6;5;1;4;5;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;5;2;4;5;5;1;5;5;6;6;2;1;3;5;6;5;6;4;6;1;2;5;6;5;4;5;6;1;11;11;0;0;"0.82";2;0;1;1;1;1;35;0;0;4,25;5,33333333333333;2;6;1;5,57142857142857;3,22222222222222;NA;NA;NA;NA;NA;NA;NA;4,8;4,75;3,5;2,8;2,83333333333333;2,5;4,75;4,2;3,76666666666667;NA
"75";1391;"CF824211";"T1";"interview";"07.01.2021 12:11";"T1";NA;NA;1;22;2;1;3;NA;"Lehr-, Lern- und Trainingspsychologie ";"Management ";9;1;1;3;2;3;2;2;3;3;4;"15.02.2021";6;5;5;"23.02.2021";6;5;7;"18.02.2021";6;5;6;4;5;4;4;3;5;4;3;4;3;4;4;5;4;3;3;3;2;3;3;2;4;3;3;3;3;2;4;4;4;5;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;3;3;4;5;2;4;5;4;4;4;4;5;5;4;2;6;4;4;5;3;5;5;4;4;6;5;5;3;4;3;3;4;3;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;5;5;5;4;3;5;5;4;5;4;3;4;2;4;4;4;2;4;2;3;5;5;3;3;3;4;1;11;11;0;0;"Jan 21";42;1;0;1;1;1;30;0;0;4,25;4;3,5;4,33333333333333;3;2,85714285714286;3,55555555555556;NA;NA;NA;NA;NA;NA;NA;4,6;5,5;3,5;3;4,16666666666667;3,25;3,75;4,4;4,02083333333333;NA
"76";1394;"SM631877";"T1";"interview";"07.01.2021 12:13";"T1";NA;NA;1;20;1;1;1;NA;"LLTP";"Technik";17;2;2;5;3;5;1;3;3;5;3;"16.02.2021";6;4;8;"18.02.2021";5;5;7;"18.02.2021";4;5;5;4;4;5;3;6;6;5;5;4;6;5;3;5;4;4;3;5;2;5;1;2;4;2;2;3;3;4;5;4;6;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;8;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;6;6;4;3;6;5;4;5;3;4;4;4;4;4;4;4;5;4;4;4;4;5;4;5;5;4;5;3;4;4;4;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;2;3;1;3;4;4;4;4;4;4;5;4;5;3;6;5;4;6;2;5;5;6;6;5;5;5;6;5;1;11;11;0;0;"0.68";1;0;1;1;1;1;32;1;0;4;5,66666666666667;5;4;4;2,57142857142857;4,22222222222222;NA;NA;NA;NA;NA;NA;NA;4,8;4,75;4,75;4,2;3,83333333333333;4;4,5;4,8;4,45416666666667;NA
"77";1396;"AE814737";"T1";"interview";"07.01.2021 12:24";"T1";NA;NA;1;19;1;1;1;NA;"Literaturwissenschaft ";"LLTP";11;2;2;5;6;4;4;6;5;5;5;"09.02.2021";5;5;5;"16.02.2021";6;6;3;"15.02.2021";6;6;4;6;5;6;6;4;5;2;4;5;4;4;6;6;4;6;6;5;2;2;1;2;3;1;1;1;1;1;4;1;4;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;4;6;5;6;1;1;6;1;3;6;3;6;2;3;1;6;3;3;6;2;5;5;3;5;6;3;5;2;5;3;5;6;4;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;4;5;4;6;4;4;4;4;6;6;6;5;6;3;6;6;5;6;6;6;5;2;6;4;6;4;4;5;1;11;11;0;0;"Jan 85";43;1;0;1;1;1;33;0;0;5,75;3,66666666666667;4,25;5,33333333333333;5,66666666666667;1,71428571428571;2,77777777777778;NA;NA;NA;NA;NA;NA;NA;5,6;6;3,25;2;2,66666666666667;3;5;4;3,93958333333333;NA
"78";1397;"AN458214";"T1";"interview";"07.01.2021 12:24";"T1";NA;NA;1;21;1;1;7;NA;"Erziehungswissenschaften ";"Lehr-, Lern-, Trainingspsychologie";23;2;2;4;4;4;2;6;3;3;5;"12.02.2021";4;4;4;"15.02.2021";5;5;3;"18.02.2021";4;5;3;6;4;4;5;5;6;4;3;5;2;4;4;4;4;2;2;2;4;4;5;3;6;4;4;4;4;3;4;5;5;2;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;5;5;5;4;2;4;6;6;5;5;3;6;6;4;2;6;3;3;6;1;4;6;2;3;6;3;4;3;3;4;4;6;5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;5;4;4;4;6;3;2;4;5;5;5;3;4;2;6;5;5;6;4;5;4;4;5;6;5;6;6;6;1;11;11;0;0;"0.83";1;1;0;1;1;1;32;1;0;4,75;5;3,5;4;2;4,28571428571429;4;NA;NA;NA;NA;NA;NA;NA;5,2;6;4;3,6;3,16666666666667;2,75;4,25;5;4,24583333333333;NA
"79";1398;"BG864843";"T1";"interview";"07.01.2021 12:25";"T1";NA;NA;1;24;1;1;1;NA;"Kommunikationswissenschaft";"LLTP";9;2;2;5;3;5;3;4;4;5;4;"08.02.2021";5;6;4;"16.02.2021";6;6;7;"22.02.2021";6;6;7;4;3;2;4;6;6;6;4;5;3;4;3;4;3;3;2;3;1;3;1;1;2;2;2;2;4;3;2;2;3;3;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;5;5;5;6;1;2;6;4;4;5;3;6;5;3;3;5;5;3;6;3;4;4;3;3;5;3;4;3;4;3;4;4;5;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;6;4;6;3;4;4;3;4;6;6;6;4;6;2;6;4;3;4;2;1;2;2;3;3;3;4;3;3;1;11;11;0;0;"0.98";18;1;0;1;1;1;31;2;0;3,25;6;4;3,33333333333333;2,66666666666667;1,71428571428571;2,88888888888889;NA;NA;NA;NA;NA;NA;NA;5;5,5;3,75;2,8;2,83333333333333;3,75;4,5;4,8;4,11666666666667;NA
"80";1403;"ET745775";"T1";"interview";"07.01.2021 13:14";"T1";NA;NA;1;19;1;1;1;NA;"EW";"LLTP";7;2;2;3;2;4;1;5;3;4;4;"15.02.2021";5;4;4;"12.02.2021";4;4;6;"09.02.2021";3;1;6;3;5;4;4;5;4;4;4;5;4;4;3;5;4;4;4;5;2;3;1;2;3;2;2;3;3;3;4;4;4;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;2;4;3;4;4;4;5;3;2;4;4;5;5;4;4;4;4;4;5;3;4;5;3;4;4;4;4;4;5;3;3;4;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;3;2;3;2;4;3;2;4;5;4;5;3;4;2;5;5;4;5;5;5;2;3;5;5;4;5;5;5;1;11;11;0;0;"Jan 17";15;0;1;1;1;1;30;0;0;4;4,33333333333333;4,25;4;4,33333333333333;2,14285714285714;3,11111111111111;NA;NA;NA;NA;NA;NA;NA;4;4,5;3,75;3;3,83333333333333;3,5;4,25;3,8;3,82916666666667;NA
"81";1404;"FH839757";"T1";"interview";"07.01.2021 13:14";"T1";NA;NA;1;18;1;1;1;NA;"Erziehungswissenschaft";"LLTP";17;2;2;5;3;4;3;3;3;5;4;"12.02.2021";4;4;7;"15.02.2021";5;NA;7;"18.02.2021";5;NA;7;2;4;3;2;2;5;2;2;2;2;2;5;6;5;2;2;4;6;6;6;6;6;6;6;2;3;2;3;2;4;2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;3;4;5;4;6;3;2;5;3;3;3;3;4;4;3;2;5;3;3;4;4;3;4;3;3;4;3;4;4;3;3;4;5;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;5;3;4;2;4;4;1;4;3;4;4;4;4;2;5;4;3;4;3;5;1;1;5;5;3;5;2;2;1;11;11;1;1;"Jan 27";23;0;1;1;1;1;24;0;0;2,75;3;2;5,33333333333333;2,66666666666667;6;2,77777777777778;NA;NA;NA;NA;NA;NA;NA;4,6;4,5;2,75;3;2,83333333333333;3,75;3,75;4,2;3,67291666666667;NA
"82";1405;"EP831244";"T1";"interview";"07.01.2021 13:14";"T1";NA;NA;1;20;1;1;1;NA;"Förderpädagogik";"LLTP";11;2;2;4;2;4;1;2;2;4;5;"15.02.2021";5;5;5;"18.02.2021";6;5;6;"09.02.2021";6;1;8;6;5;5;5;2;2;2;4;4;4;5;2;3;3;1;1;3;2;4;3;3;3;3;2;4;2;4;4;4;3;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;4;5;3;2;3;3;6;2;3;2;3;5;4;5;2;5;5;2;5;3;4;3;3;3;5;4;4;3;5;3;4;5;4;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;3;4;1;4;5;1;5;4;4;5;4;1;2;3;5;5;5;3;4;1;2;4;3;5;6;3;5;1;11;11;0;0;"0.94";6;0;1;1;1;1;34;0;0;5,25;2;4,25;2,66666666666667;1,66666666666667;2,85714285714286;3,66666666666667;NA;NA;NA;NA;NA;NA;NA;4,2;5,25;2,25;3,4;3,33333333333333;3,75;4,5;3,4;3,76041666666667;NA
"83";1406;"FL248294";"T1";"interview";"07.01.2021 13:14";"T1";NA;NA;1;20;1;1;1;NA;"EW";"LLTP";19;2;2;4;2;5;5;4;2;5;3;"09.02.2021";6;5;7;"12.02.2021";6;5;5;"18.02.2021";6;5;6;4;2;2;4;4;5;2;2;5;3;4;5;5;4;3;4;4;1;1;1;1;1;1;1;3;5;4;4;3;6;2;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;6;2;4;2;3;5;2;6;4;2;6;5;4;2;6;2;2;5;1;3;4;2;2;6;3;4;2;6;4;5;5;5;3;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;5;2;5;5;3;1;4;3;6;5;5;4;4;2;5;5;5;6;2;5;3;1;6;6;6;5;4;6;1;11;11;0;0;"0.97";6;0;1;1;1;1;35;0;0;3;3,66666666666667;3,5;4,66666666666667;3,66666666666667;1;3,77777777777778;NA;NA;NA;NA;NA;NA;NA;4,6;5,5;2,5;4;2,66666666666667;2,5;5;4,8;3,94583333333333;NA
"84";1407;"AP844344";"T1";"interview";"07.01.2021 13:16";"T1";NA;NA;1;19;1;1;1;NA;"Erziehungswissenschaft";"LLTP";5;2;1;6;3;6;4;5;3;5;6;"12.02.2021";5;4;4;"15.02.2021";6;5;5;"18.02.2021";5;4;5;5;5;3;4;2;4;3;2;3;1;4;5;4;6;3;3;6;3;6;5;3;5;5;3;2;3;2;2;1;4;3;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;1;6;5;2;5;2;1;2;6;3;3;3;6;2;2;1;4;3;4;2;2;3;5;2;3;3;4;6;2;5;4;5;6;4;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;5;5;2;2;3;5;2;5;6;6;6;5;4;6;6;2;4;4;6;5;1;3;4;6;6;6;5;6;1;11;11;0;0;"Jan 41";26;1;0;1;1;1;29;2;0;4,25;3;2,5;5;4;4,28571428571429;2,77777777777778;NA;NA;NA;NA;NA;NA;NA;5,2;2,75;3,25;2,2;2,66666666666667;3;4,25;4,4;3,46458333333333;NA
"85";1408;"AA223798";"T1";"interview";"07.01.2021 13:20";"T1";NA;NA;1;19;1;1;1;NA;"Erziehungswissenschaft";"LLTP";12;2;2;3;1;3;1;2;3;2;3;"15.02.2021";5;3;7;"18.02.2021";6;2;7;"12.02.2021";6;3;7;4;5;3;3;1;1;1;3;4;3;4;3;3;2;1;1;1;3;2;3;1;3;1;1;2;3;1;2;4;3;1;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;5;3;3;2;2;1;2;1;4;2;2;4;3;1;2;4;2;4;3;3;3;2;1;2;2;3;5;3;4;2;3;5;5;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;3;5;2;4;1;4;4;5;4;4;3;4;1;5;5;3;5;4;6;1;2;4;4;2;4;2;5;1;11;11;0;0;"01. Jun";8;1;0;1;1;1;29;2;0;3,75;1;3,5;2,66666666666667;1;2;2,33333333333333;NA;NA;NA;NA;NA;NA;NA;4,4;2,75;1,75;2,6;2;2,75;3,75;3;2,875;NA
"86";1409;"DT637117";"T1";"interview";"07.01.2021 13:22";"T1";NA;NA;1;19;1;1;1;NA;"LLTP";"EW";6;2;2;2;1;3;1;2;3;2;5;"12.02.2021";6;4;9;"15.02.2021";5;5;7;"18.02.2021";5;5;6;3;5;2;4;3;3;2;2;2;1;3;4;4;2;5;5;5;1;2;2;1;3;2;1;3;4;1;2;3;3;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;4;1;5;3;2;3;4;3;4;2;4;4;3;3;2;3;2;3;4;4;4;3;1;3;2;2;3;5;2;2;3;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;6;4;5;2;5;6;1;6;5;4;6;4;5;3;5;6;3;4;5;5;1;1;3;4;3;5;4;4;1;11;11;0;0;"0.61";2;0;1;1;1;1;35;0;0;3,5;2,66666666666667;2;3,33333333333333;5;1,71428571428571;2,66666666666667;NA;NA;NA;NA;NA;NA;NA;2,8;2,75;3;2,8;2,33333333333333;3;4,25;4;3,11666666666667;NA
"87";1411;"VK722412";"T1";"interview";"07.01.2021 13:30";"T1";NA;NA;1;21;2;3;1;NA;"Förderpädagogik";"LLTP";13;2;2;3;1;4;1;2;3;5;4;"18.02.2021";4;2;5;"18.02.2021";5;5;10;"18.02.2021";2;3;3;3;2;5;5;5;5;5;4;3;2;2;4;5;4;1;1;2;5;5;5;6;5;5;5;2;2;2;2;3;5;1;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;3;5;3;6;1;2;6;6;3;4;3;5;6;3;2;6;3;4;5;4;5;6;2;1;5;3;4;2;6;2;2;6;6;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;6;1;6;6;2;4;2;4;4;6;4;2;1;2;5;3;5;5;2;4;4;2;5;5;3;5;4;5;1;11;11;0;0;"01. Dez";9;0;1;1;1;1;26;3;0;3,75;5;2,75;4,33333333333333;1,33333333333333;5,14285714285714;2,44444444444444;NA;NA;NA;NA;NA;NA;NA;4,8;5,5;3,25;2,4;2,83333333333333;2,75;5,5;5,2;4,02916666666667;NA
"88";1412;"BC191415";"T1";"interview";"07.01.2021 13:40";"T1";NA;NA;1;18;1;1;1;NA;"LLTP";"EW";10;2;2;5;3;5;1;2;3;5;4;"15.02.2021";4;4;2;"18.02.2021";5;4;4;"09.02.2021";4;4;2;5;5;2;6;4;4;4;4;4;2;4;6;6;5;5;6;5;2;2;2;1;3;2;1;2;1;4;2;3;3;1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;3;4;4;6;1;2;5;4;2;5;2;6;4;4;1;6;2;2;4;3;2;5;2;3;6;3;4;2;5;2;4;5;4;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;4;3;3;4;2;2;3;2;5;4;3;6;2;6;3;2;2;2;6;6;3;6;6;5;2;2;5;1;11;11;0;0;"01. Dez";9;0;1;1;1;1;35;0;0;4,5;4;3,5;5,66666666666667;5,33333333333333;1,85714285714286;2,66666666666667;NA;NA;NA;NA;NA;NA;NA;4,8;5,25;3,25;2;2,5;2,75;3,75;4;3,5375;NA
