"";"SERIAL";"Feedback";"TIME";"GOAL"
"126";"HD353817";1;"goalt1";4,75
"127";"MB259846";0;"goalt1";6
"128";"LP893358";0;"goalt1";3,5
"129";"LF961829";0;"goalt1";3,25
"130";"YA272536";1;"goalt1";4,25
"131";"MD787544";1;"goalt1";4
"132";"FE929218";0;"goalt1";4,25
"133";"LW441239";1;"goalt1";4,75
"134";"GF886775";1;"goalt1";2
"135";"LH578194";1;"goalt1";4,25
"136";"KZ379721";1;"goalt1";2,25
"137";"GZ249864";0;"goalt1";4,25
"138";"LC333483";0;"goalt1";5,25
"139";"GA326557";1;"goalt1";4,25
"140";"LQ366462";1;"goalt1";3,75
"142";"KV214531";1;"goalt1";4,75
"143";"TP544386";1;"goalt1";4,25
"144";"WR312764";1;"goalt1";5
"145";"FF171956";1;"goalt1";3,25
"146";"LB318186";0;"goalt1";4,75
"147";"GR441237";1;"goalt1";4,75
"148";"XA855886";1;"goalt1";2,75
"149";"DZ883544";1;"goalt1";5
"150";"KZ623294";0;"goalt1";4,25
"454";"HD353817";1;"goalt2";3,75
"455";"EC159212";1;"goalt2";3,75
"456";"EP831244";0;"goalt2";5,75
"457";"FY246884";0;"goalt2";3,75
"458";"AH561571";0;"goalt2";4
"459";"FX545495";1;"goalt2";4
"460";"ME363698";1;"goalt2";4,25
"461";"PW785611";0;"goalt2";5,25
"462";"AA223798";1;"goalt2";5
"463";"XB482288";0;"goalt2";5
"464";"LP893358";0;"goalt2";2,75
"465";"BA355797";1;"goalt2";4
"466";"EK319924";1;"goalt2";5
"467";"LH578194";1;"goalt2";3,75
"468";"CU525786";1;"goalt2";5,5
"469";"LQ366462";1;"goalt2";4,25
"470";"FH839757";0;"goalt2";3,5
"471";"LB318186";0;"goalt2";3,5
"472";"NV617537";0;"goalt2";4
"473";"CF824211";1;"goalt2";4,25
"474";"SW218242";1;"goalt2";4,5
"475";"LF961829";0;"goalt2";3,25
"476";"RV452633";0;"goalt2";2
"477";"AN652227";0;"goalt2";3
"478";"UR157297";0;"goalt2";3,75
"479";"QT273771";0;"goalt2";4,25
"480";"AW495873";0;"goalt2";3,25
"481";"XV615413";1;"goalt2";5,25
"482";"YN129325";0;"goalt2";3
"483";"VC376826";0;"goalt2";4,25
"484";"VU521743";1;"goalt2";4,25
"485";"AP844344";1;"goalt2";5
"486";"FL569837";0;"goalt2";2,75
"487";"XK292543";1;"goalt2";3,5
"488";"XP544262";1;"goalt2";4,5
"489";"WR312764";1;"goalt2";4,25
"490";"UL113513";0;"goalt2";4
"491";"NK144173";0;"goalt2";5,25
"492";"YC186467";1;"goalt2";5,5
"493";"XS659581";0;"goalt2";5
"494";"YM644361";0;"goalt2";5,5
"495";"YA272536";1;"goalt2";4,75
"496";"PK497634";1;"goalt2";5,25
"497";"UX896743";0;"goalt2";4
"498";"VX588246";1;"goalt2";4,5
"499";"TP544386";1;"goalt2";4,5
"500";"PY946565";1;"goalt2";4,75
"501";"NK367231";1;"goalt2";4
"502";"YC888437";0;"goalt2";4,5
"503";"CZ836922";1;"goalt2";4,75
"504";"GF886775";1;"goalt2";2,5
"505";"MB259846";0;"goalt2";5,25
"506";"YL695788";1;"goalt2";4,25
"507";"DM159531";0;"goalt2";4,75
"508";"FK136917";1;"goalt2";5
"509";"FL248294";0;"goalt2";4,25
"510";"VN755488";1;"goalt2";4,5
"511";"CV988215";1;"goalt2";5,75
"512";"YE632525";1;"goalt2";4,25
"513";"EE558756";1;"goalt2";4,75
"514";"TG784124";1;"goalt2";4,25
"515";"BX289155";0;"goalt2";2,25
"516";"GK826951";0;"goalt2";3,75
"517";"AZ588774";0;"goalt2";3,25
"518";"BG864843";1;"goalt2";3,75
"519";"VR815563";1;"goalt2";4
"520";"XK242279";0;"goalt2";3,5
"521";"XA855886";1;"goalt2";3,75
"522";"GD335178";1;"goalt2";5
"523";"RT652696";0;"goalt2";3
"524";"BF819292";1;"goalt2";3,75
"525";"ZV438183";1;"goalt2";5,5
"526";"AY454349";1;"goalt2";3,5
"527";"SE522452";0;"goalt2";4,75
"528";"UB531682";0;"goalt2";2,5
"529";"KZ379721";1;"goalt2";2,25
"530";"DT637117";0;"goalt2";2,75
"531";"HS785464";0;"goalt2";3,5
"532";"WG879246";1;"goalt2";3,5
"533";"MD787544";1;"goalt2";4,75
"534";"DU868473";1;"goalt2";4,75
"535";"HQ159989";0;"goalt2";3
"536";"XZ767591";1;"goalt2";4,25
"537";"ME862665";0;"goalt2";3,5
"538";"FL283383";1;"goalt2";5
"539";"NM384333";0;"goalt2";3
"540";"QR394599";1;"goalt2";4,75
"541";"SE762113";0;"goalt2";5,25
"542";"DZ883544";1;"goalt2";5
"543";"GA326557";1;"goalt2";3,75
"544";"PN821564";0;"goalt2";3,5
"545";"LC333483";0;"goalt2";5
"546";"TN749971";1;"goalt2";4,25
"547";"KZ623294";0;"goalt2";3,25
"548";"PQ466859";0;"goalt2";4
"549";"NV651396";1;"goalt2";3
"550";"XN198271";1;"goalt2";4,25
"551";"PH647245";0;"goalt2";4,75
"552";"FE929218";0;"goalt2";3,25
"553";"RW164757";0;"goalt2";4,5
"554";"WC754144";1;"goalt2";4,25
"555";"PY333941";0;"goalt2";2,5
"556";"PA298545";1;"goalt2";4,5
"557";"RA581334";1;"goalt2";4,5
"558";"SP553518";0;"goalt2";4,5
"559";"ME637726";1;"goalt2";5,25
"560";"VZ398246";1;"goalt2";4,25
"561";"BS791494";0;"goalt2";3,5
"562";"TC633551";1;"goalt2";4,5
"563";"TB885956";1;"goalt2";5
"564";"RQ233693";0;"goalt2";5,5
"565";"HA634253";1;"goalt2";4
"566";"AE814737";1;"goalt2";5,75
"567";"XV917984";1;"goalt2";5,5
"568";"MG848757";0;"goalt2";5
"569";"RH615392";0;"goalt2";5,25
"570";"SS198481";1;"goalt2";4,25
"571";"NB497633";1;"goalt2";5,75
"572";"ZT573312";0;"goalt2";4,5
"573";"VB488197";0;"goalt2";5
"574";"BV722553";0;"goalt2";2,5
"575";"YR389785";1;"goalt2";3
"576";"AK891341";0;"goalt2";3,75
"577";"KV214531";1;"goalt2";2,75
"578";"VK722412";0;"goalt2";3,75
"579";"WN633269";1;"goalt2";4,25
"580";"AT973973";1;"goalt2";4,75
"581";"XY662821";0;"goalt2";3,75
"582";"GZ249864";0;"goalt2";4
"583";"UY881832";0;"goalt2";3
"584";"YF233344";0;"goalt2";4
"585";"DA181897";0;"goalt2";3,25
"586";"TC332594";1;"goalt2";3,75
"587";"DC443849";0;"goalt2";3,5
"588";"BC191415";0;"goalt2";6
"589";"SN429438";0;"goalt2";3,75
"590";"YW953985";1;"goalt2";5,5
"591";"XY216464";0;"goalt2";4,75
"592";"XG496891";0;"goalt2";2,5
"593";"SM631877";0;"goalt2";4,25
"594";"AT424766";0;"goalt2";5,75
"595";"VY624531";1;"goalt2";4,25
"596";"AN458214";1;"goalt2";4,75
"597";"LW441239";1;"goalt2";4,5
"598";"GK718459";0;"goalt2";5,25
"599";"SR175276";1;"goalt2";3,5
"600";"EL742586";1;"goalt2";4
"601";"GR441237";1;"goalt2";4,25
"602";"PZ846199";0;"goalt2";5,25
"603";"ET745775";0;"goalt2";3,25
"604";"PY378998";1;"goalt2";4,5
"605";"PK111235";0;"goalt2";2
"606";"FF171956";1;"goalt2";4,25
